09:02:17.600,35=D;11=LIT-1377;54=2;38=1800;44=95.4;100=L;,35=D;11=DRK-1377;54=2;38=400;44=95.4;100=D;
09:02:17.700,35=D;11=LIT-1378;54=1;38=800;44=95.4;100=L;,35=D;11=DRK-1378;54=1;38=1200;44=95.4;100=D;
09:02:17.800,35=D;11=LIT-1379;54=2;38=400;44=95.4;100=L;,35=D;11=DRK-1379;54=2;38=100;44=95.5;100=D;
09:02:17.900,35=D;11=LIT-1380;54=1;38=900;44=95.4;100=L;,35=D;11=DRK-1380;54=1;38=900;44=95.4;100=D;
09:02:18.000,35=D;11=LIT-1381;54=2;38=2900;44=95.4;100=L;,35=D;11=DRK-1381;54=2;38=800;44=95.4;100=D;
09:02:18.100,35=D;11=LIT-1382;54=1;38=400;44=95.8;100=L;,35=D;11=DRK-1382;54=1;38=100;44=95.7;100=D;
09:02:18.200,35=D;11=LIT-1383;54=2;38=1800;44=95.6;100=L;,35=D;11=DRK-1383;54=2;38=1400;44=95.8;100=D;
09:02:18.300,35=D;11=LIT-1384;54=1;38=2800;44=96.0;100=L;,35=D;11=DRK-1384;54=1;38=400;44=95.9;100=D;
09:02:18.400,35=D;11=LIT-1385;54=2;38=2100;44=96.0;100=L;,35=D;11=DRK-1385;54=2;38=500;44=95.9;100=D;
09:02:18.500,35=D;11=LIT-1386;54=1;38=1700;44=96.0;100=L;,35=D;11=DRK-1386;54=1;38=300;44=96.0;100=D;,35=D;11=SOR-10;54=2;38=6000;44=93;100=SOR;
09:02:18.600,35=D;11=LIT-1387;54=2;38=1200;44=96.1;100=L;,35=D;11=DRK-1387;54=2;38=900;44=96.2;100=D;
09:02:18.700,35=D;11=LIT-1388;54=1;38=200;44=96.2;100=L;,35=D;11=DRK-1388;54=1;38=400;44=96.4;100=D;
09:02:18.800,35=D;11=LIT-1389;54=2;38=2400;44=96.5;100=L;,35=D;11=DRK-1389;54=2;38=100;44=96.4;100=D;
09:02:18.900,35=D;11=LIT-1390;54=1;38=2400;44=96.4;100=L;,35=D;11=DRK-1390;54=1;38=100;44=96.5;100=D;
09:02:19.000,35=D;11=LIT-1391;54=2;38=2900;44=96.3;100=L;,35=D;11=DRK-1391;54=2;38=1500;44=96.4;100=D;
09:02:19.100,35=D;11=LIT-1392;54=1;38=2700;44=96.1;100=L;,35=D;11=DRK-1392;54=1;38=200;44=96.0;100=D;
09:02:19.200,35=D;11=LIT-1393;54=2;38=2900;44=96.0;100=L;,35=D;11=DRK-1393;54=2;38=900;44=96.0;100=D;
09:02:19.300,35=D;11=LIT-1394;54=1;38=1700;44=95.7;100=L;,35=D;11=DRK-1394;54=1;38=1300;44=95.7;100=D;
09:02:19.400,35=D;11=LIT-1395;54=2;38=3000;44=95.8;100=L;,35=D;11=DRK-1395;54=2;38=1400;44=95.9;100=D;
09:02:19.500,35=D;11=LIT-1396;54=1;38=2000;44=96.1;100=L;,35=D;11=DRK-1396;54=1;38=1100;44=96.1;100=D;
09:02:19.600,35=D;11=LIT-1397;54=2;38=300;44=96.0;100=L;,35=D;11=DRK-1397;54=2;38=200;44=96.1;100=D;
09:02:19.700,35=D;11=LIT-1398;54=1;38=300;44=96.0;100=L;,35=D;11=DRK-1398;54=1;38=900;44=96.0;100=D;
09:02:19.800,35=D;11=LIT-1399;54=2;38=1800;44=96.2;100=L;,35=D;11=DRK-1399;54=2;38=700;44=96.1;100=D;
09:02:19.900,35=D;11=LIT-1400;54=1;38=1200;44=95.8;100=L;,35=D;11=DRK-1400;54=1;38=1400;44=95.9;100=D;
09:02:20.000,35=D;11=LIT-1401;54=2;38=2900;44=95.8;100=L;,35=D;11=DRK-1401;54=2;38=100;44=95.9;100=D;
09:02:20.100,35=D;11=LIT-1402;54=1;38=2100;44=95.9;100=L;,35=D;11=DRK-1402;54=1;38=800;44=96.0;100=D;
09:02:20.200,35=D;11=LIT-1403;54=2;38=1900;44=96.2;100=L;,35=D;11=DRK-1403;54=2;38=900;44=96.2;100=D;
09:02:20.300,35=D;11=LIT-1404;54=1;38=600;44=96.0;100=L;,35=D;11=DRK-1404;54=1;38=1200;44=96.0;100=D;
09:02:20.400,35=D;11=LIT-1405;54=2;38=500;44=95.7;100=L;,35=D;11=DRK-1405;54=2;38=100;44=95.8;100=D;
09:02:20.500,35=D;11=LIT-1406;54=1;38=900;44=95.7;100=L;,35=D;11=DRK-1406;54=1;38=700;44=95.5;100=D;
09:02:20.600,35=D;11=LIT-1407;54=2;38=1100;44=95.6;100=L;,35=D;11=DRK-1407;54=2;38=800;44=95.6;100=D;
09:02:20.700,35=D;11=LIT-1408;54=1;38=1200;44=95.2;100=L;,35=D;11=DRK-1408;54=1;38=200;44=95.2;100=D;
09:02:20.800,35=D;11=LIT-1409;54=2;38=1200;44=95.4;100=L;,35=D;11=DRK-1409;54=2;38=100;44=95.5;100=D;
09:02:20.900,35=D;11=LIT-1410;54=1;38=1400;44=95.6;100=L;,35=D;11=DRK-1410;54=1;38=1300;44=95.6;100=D;
09:02:21.000,35=D;11=LIT-1411;54=2;38=1900;44=95.7;100=L;,35=D;11=DRK-1411;54=2;38=100;44=95.8;100=D;
09:02:21.100,35=D;11=LIT-1412;54=1;38=800;44=95.5;100=L;,35=D;11=DRK-1412;54=1;38=100;44=95.7;100=D;
09:02:21.200,35=D;11=LIT-1413;54=2;38=1400;44=95.7;100=L;,35=D;11=DRK-1413;54=2;38=500;44=95.5;100=D;
09:02:21.300,35=D;11=LIT-1414;54=1;38=1300;44=95.4;100=L;,35=D;11=DRK-1414;54=1;38=800;44=95.4;100=D;
09:02:21.400,35=D;11=LIT-1415;54=2;38=200;44=95.6;100=L;,35=D;11=DRK-1415;54=2;38=500;44=95.5;100=D;
09:02:21.500,35=D;11=LIT-1416;54=1;38=1200;44=95.4;100=L;,35=D;11=DRK-1416;54=1;38=300;44=95.6;100=D;
09:02:21.600,35=D;11=LIT-1417;54=2;38=900;44=95.5;100=L;,35=D;11=DRK-1417;54=2;38=1500;44=95.6;100=D;
09:02:21.700,35=D;11=LIT-1418;54=1;38=900;44=95.6;100=L;,35=D;11=DRK-1418;54=1;38=1300;44=95.5;100=D;
09:02:21.800,35=D;11=LIT-1419;54=2;38=2500;44=95.3;100=L;,35=D;11=DRK-1419;54=2;38=1400;44=95.2;100=D;
09:02:21.900,35=D;11=LIT-1420;54=1;38=500;44=95.3;100=L;,35=D;11=DRK-1420;54=1;38=100;44=95.2;100=D;
09:02:22.000,35=D;11=LIT-1421;54=2;38=200;44=95.5;100=L;,35=D;11=DRK-1421;54=2;38=1100;44=95.4;100=D;
09:02:22.100,35=D;11=LIT-1422;54=1;38=1800;44=95.6;100=L;,35=D;11=DRK-1422;54=1;38=500;44=95.6;100=D;
09:02:22.200,35=D;11=LIT-1423;54=2;38=2300;44=95.2;100=L;,35=D;11=DRK-1423;54=2;38=1100;44=95.2;100=D;
09:02:22.300,35=D;11=LIT-1424;54=1;38=1800;44=95.0;100=L;,35=D;11=DRK-1424;54=1;38=300;44=95.1;100=D;
09:02:22.400,35=D;11=LIT-1425;54=2;38=1200;44=95.2;100=L;,35=D;11=DRK-1425;54=2;38=600;44=95.2;100=D;
09:02:22.500,35=D;11=LIT-1426;54=1;38=2300;44=95.2;100=L;,35=D;11=DRK-1426;54=1;38=1200;44=95.0;100=D;
09:02:22.600,35=D;11=LIT-1427;54=2;38=1300;44=95.1;100=L;,35=D;11=DRK-1427;54=2;38=500;44=95.3;100=D;
09:02:22.700,35=D;11=LIT-1428;54=1;38=200;44=95.3;100=L;,35=D;11=DRK-1428;54=1;38=500;44=95.3;100=D;
09:02:22.800,35=D;11=LIT-1429;54=2;38=1300;44=95.4;100=L;,35=D;11=DRK-1429;54=2;38=800;44=95.6;100=D;
09:02:22.900,35=D;11=LIT-1430;54=1;38=1500;44=95.4;100=L;,35=D;11=DRK-1430;54=1;38=800;44=95.4;100=D;
09:02:23.000,35=D;11=LIT-1431;54=2;38=2300;44=95.3;100=L;,35=D;11=DRK-1431;54=2;38=100;44=95.3;100=D;
09:02:23.100,35=D;11=LIT-1432;54=1;38=1100;44=95.0;100=L;,35=D;11=DRK-1432;54=1;38=200;44=95.2;100=D;
09:02:23.200,35=D;11=LIT-1433;54=2;38=2600;44=95.0;100=L;,35=D;11=DRK-1433;54=2;38=800;44=95.2;100=D;
09:02:23.300,35=D;11=LIT-1434;54=1;38=1300;44=95.2;100=L;,35=D;11=DRK-1434;54=1;38=700;44=95.3;100=D;
09:02:23.400,35=D;11=LIT-1435;54=2;38=2200;44=95.3;100=L;,35=D;11=DRK-1435;54=2;38=800;44=95.3;100=D;
09:02:23.500,35=D;11=LIT-1436;54=1;38=2600;44=95.3;100=L;,35=D;11=DRK-1436;54=1;38=1500;44=95.2;100=D;
09:02:23.600,35=D;11=LIT-1437;54=2;38=2100;44=95.1;100=L;,35=D;11=DRK-1437;54=2;38=1100;44=95.0;100=D;
09:02:23.700,35=D;11=LIT-1438;54=1;38=1300;44=94.9;100=L;,35=D;11=DRK-1438;54=1;38=1100;44=95.1;100=D;
09:02:23.800,35=D;11=LIT-1439;54=2;38=600;44=95.0;100=L;,35=D;11=DRK-1439;54=2;38=700;44=95.0;100=D;
09:02:23.900,35=D;11=LIT-1440;54=1;38=900;44=95.4;100=L;,35=D;11=DRK-1440;54=1;38=1100;44=95.3;100=D;
09:02:24.000,35=D;11=LIT-1441;54=2;38=2500;44=95.3;100=L;,35=D;11=DRK-1441;54=2;38=1500;44=95.5;100=D;
09:02:24.100,35=D;11=LIT-1442;54=1;38=1300;44=95.2;100=L;,35=D;11=DRK-1442;54=1;38=800;44=95.3;100=D;
09:02:24.200,35=D;11=LIT-1443;54=2;38=2700;44=95.2;100=L;,35=D;11=DRK-1443;54=2;38=1400;44=95.1;100=D;
09:02:24.300,35=D;11=LIT-1444;54=1;38=500;44=95.3;100=L;,35=D;11=DRK-1444;54=1;38=500;44=95.2;100=D;
09:02:24.400,35=D;11=LIT-1445;54=2;38=2000;44=95.2;100=L;,35=D;11=DRK-1445;54=2;38=1400;44=95.2;100=D;
09:02:24.500,35=D;11=LIT-1446;54=1;38=2900;44=94.8;100=L;,35=D;11=DRK-1446;54=1;38=100;44=94.9;100=D;
09:02:24.600,35=D;11=LIT-1447;54=2;38=1200;44=94.8;100=L;,35=D;11=DRK-1447;54=2;38=1000;44=95.0;100=D;
09:02:24.700,35=D;11=LIT-1448;54=1;38=2800;44=94.8;100=L;,35=D;11=DRK-1448;54=1;38=1200;44=94.8;100=D;
09:02:24.800,35=D;11=LIT-1449;54=2;38=1400;44=94.7;100=L;,35=D;11=DRK-1449;54=2;38=1200;44=94.7;100=D;
09:02:24.900,35=D;11=LIT-1450;54=1;38=1700;44=94.9;100=L;,35=D;11=DRK-1450;54=1;38=700;44=94.9;100=D;
09:02:25.000,35=D;11=LIT-1451;54=2;38=3000;44=94.7;100=L;,35=D;11=DRK-1451;54=2;38=1500;44=94.8;100=D;
09:02:25.100,35=D;11=LIT-1452;54=1;38=2300;44=94.6;100=L;,35=D;11=DRK-1452;54=1;38=1200;44=94.5;100=D;
09:02:25.200,35=D;11=LIT-1453;54=2;38=2000;44=94.3;100=L;,35=D;11=DRK-1453;54=2;38=1500;44=94.3;100=D;
09:02:25.300,35=D;11=LIT-1454;54=1;38=1100;44=94.3;100=L;,35=D;11=DRK-1454;54=1;38=700;44=94.3;100=D;
09:02:25.400,35=D;11=LIT-1455;54=2;38=1000;44=94.7;100=L;,35=D;11=DRK-1455;54=2;38=100;44=94.6;100=D;
09:02:25.500,35=D;11=LIT-1456;54=1;38=2000;44=94.4;100=L;,35=D;11=DRK-1456;54=1;38=100;44=94.3;100=D;
09:02:25.600,35=D;11=LIT-1457;54=2;38=3000;44=94.2;100=L;,35=D;11=DRK-1457;54=2;38=1300;44=94.1;100=D;
09:02:25.700,35=D;11=LIT-1458;54=1;38=800;44=94.4;100=L;,35=D;11=DRK-1458;54=1;38=300;44=94.2;100=D;
09:02:25.800,35=D;11=LIT-1459;54=2;38=1500;44=94.3;100=L;,35=D;11=DRK-1459;54=2;38=800;44=94.1;100=D;
09:02:25.900,35=D;11=LIT-1460;54=1;38=1600;44=94.4;100=L;,35=D;11=DRK-1460;54=1;38=600;44=94.3;100=D;
09:02:26.000,35=D;11=LIT-1461;54=2;38=1500;44=94.2;100=L;,35=D;11=DRK-1461;54=2;38=900;44=94.2;100=D;
09:02:26.100,35=D;11=LIT-1462;54=1;38=300;44=94.5;100=L;,35=D;11=DRK-1462;54=1;38=200;44=94.4;100=D;
09:02:26.200,35=D;11=LIT-1463;54=2;38=1100;44=94.4;100=L;,35=D;11=DRK-1463;54=2;38=1300;44=94.2;100=D;
09:02:26.300,35=D;11=LIT-1464;54=1;38=1000;44=94.4;100=L;,35=D;11=DRK-1464;54=1;38=1000;44=94.5;100=D;
09:02:26.400,35=D;11=LIT-1465;54=2;38=1400;44=94.5;100=L;,35=D;11=DRK-1465;54=2;38=200;44=94.3;100=D;
09:02:26.500,35=D;11=LIT-1466;54=1;38=2100;44=94.1;100=L;,35=D;11=DRK-1466;54=1;38=100;44=94.3;100=D;
09:02:26.600,35=D;11=LIT-1467;54=2;38=2900;44=93.9;100=L;,35=D;11=DRK-1467;54=2;38=600;44=93.9;100=D;
09:02:26.700,35=D;11=LIT-1468;54=1;38=2100;44=94.2;100=L;,35=D;11=DRK-1468;54=1;38=1500;44=94.1;100=D;
09:02:26.800,35=D;11=LIT-1469;54=2;38=900;44=93.8;100=L;,35=D;11=DRK-1469;54=2;38=900;44=93.9;100=D;
09:02:26.900,35=D;11=LIT-1470;54=1;38=2300;44=93.8;100=L;,35=D;11=DRK-1470;54=1;38=1200;44=93.6;100=D;
09:02:27.000,35=D;11=LIT-1471;54=2;38=1500;44=93.8;100=L;,35=D;11=DRK-1471;54=2;38=200;44=93.8;100=D;
09:02:27.100,35=D;11=LIT-1472;54=1;38=300;44=93.6;100=L;,35=D;11=DRK-1472;54=1;38=1500;44=93.6;100=D;
09:02:27.200,35=D;11=LIT-1473;54=2;38=2700;44=93.5;100=L;,35=D;11=DRK-1473;54=2;38=1400;44=93.6;100=D;
09:02:27.300,35=D;11=LIT-1474;54=1;38=900;44=93.9;100=L;,35=D;11=DRK-1474;54=1;38=300;44=93.8;100=D;
09:02:27.400,35=D;11=LIT-1475;54=2;38=1300;44=93.6;100=L;,35=D;11=DRK-1475;54=2;38=1100;44=93.5;100=D;
09:02:27.500,35=D;11=LIT-1476;54=1;38=1200;44=93.5;100=L;,35=D;11=DRK-1476;54=1;38=900;44=93.5;100=D;
09:02:27.600,35=D;11=LIT-1477;54=2;38=2100;44=93.6;100=L;,35=D;11=DRK-1477;54=2;38=1300;44=93.6;100=D;
09:02:27.700,35=D;11=LIT-1478;54=1;38=1500;44=93.7;100=L;,35=D;11=DRK-1478;54=1;38=800;44=93.6;100=D;
09:02:27.800,35=D;11=LIT-1479;54=2;38=1700;44=93.8;100=L;,35=D;11=DRK-1479;54=2;38=700;44=93.6;100=D;
09:02:27.900,35=D;11=LIT-1480;54=1;38=500;44=93.6;100=L;,35=D;11=DRK-1480;54=1;38=1300;44=93.8;100=D;
09:02:28.000,35=D;11=LIT-1481;54=2;38=200;44=93.6;100=L;,35=D;11=DRK-1481;54=2;38=500;44=93.4;100=D;
09:02:28.100,35=D;11=LIT-1482;54=1;38=700;44=93.5;100=L;,35=D;11=DRK-1482;54=1;38=800;44=93.5;100=D;
09:02:28.200,35=D;11=LIT-1483;54=2;38=1200;44=93.4;100=L;,35=D;11=DRK-1483;54=2;38=1300;44=93.5;100=D;
09:02:28.300,35=D;11=LIT-1484;54=1;38=1000;44=93.4;100=L;,35=D;11=DRK-1484;54=1;38=700;44=93.5;100=D;
09:02:28.400,35=D;11=LIT-1485;54=2;38=2600;44=93.4;100=L;,35=D;11=DRK-1485;54=2;38=200;44=93.6;100=D;
09:02:28.500,35=D;11=LIT-1486;54=1;38=2900;44=93.4;100=L;,35=D;11=DRK-1486;54=1;38=300;44=93.4;100=D;
09:02:28.600,35=D;11=LIT-1487;54=2;38=2500;44=93.7;100=L;,35=D;11=DRK-1487;54=2;38=300;44=93.7;100=D;
09:02:28.700,35=D;11=LIT-1488;54=1;38=300;44=93.5;100=L;,35=D;11=DRK-1488;54=1;38=1400;44=93.6;100=D;
09:02:28.800,35=D;11=LIT-1489;54=2;38=2800;44=93.5;100=L;,35=D;11=DRK-1489;54=2;38=1500;44=93.4;100=D;
09:02:28.900,35=D;11=LIT-1490;54=1;38=1100;44=93.7;100=L;,35=D;11=DRK-1490;54=1;38=200;44=93.7;100=D;
09:02:29.000,35=D;11=LIT-1491;54=2;38=800;44=93.9;100=L;,35=D;11=DRK-1491;54=2;38=1100;44=93.8;100=D;
09:02:29.100,35=D;11=LIT-1492;54=1;38=1700;44=94.1;100=L;,35=D;11=DRK-1492;54=1;38=1300;44=94.0;100=D;
09:02:29.200,35=D;11=LIT-1493;54=2;38=2600;44=94.1;100=L;,35=D;11=DRK-1493;54=2;38=1500;44=94.1;100=D;
09:02:29.300,35=D;11=LIT-1494;54=1;38=400;44=94.0;100=L;,35=D;11=DRK-1494;54=1;38=500;44=93.9;100=D;
09:02:29.400,35=D;11=LIT-1495;54=2;38=1800;44=94.0;100=L;,35=D;11=DRK-1495;54=2;38=100;44=94.1;100=D;
09:02:29.500,35=D;11=LIT-1496;54=1;38=300;44=94.2;100=L;,35=D;11=DRK-1496;54=1;38=200;44=94.2;100=D;
09:02:29.600,35=D;11=LIT-1497;54=2;38=3000;44=93.9;100=L;,35=D;11=DRK-1497;54=2;38=800;44=93.8;100=D;
09:02:29.700,35=D;11=LIT-1498;54=1;38=2800;44=94.0;100=L;,35=D;11=DRK-1498;54=1;38=200;44=94.1;100=D;
09:02:29.800,35=D;11=LIT-1499;54=2;38=2000;44=94.0;100=L;,35=D;11=DRK-1499;54=2;38=700;44=94.2;100=D;
09:02:29.900,35=D;11=LIT-1500;54=1;38=2100;44=94.2;100=L;,35=D;11=DRK-1500;54=1;38=1100;44=94.4;100=D;
09:02:30.000,35=D;11=LIT-1501;54=2;38=500;44=94.0;100=L;,35=D;11=DRK-1501;54=2;38=1400;44=94.2;100=D;
09:02:30.100,35=D;11=LIT-1502;54=1;38=2000;44=94.0;100=L;,35=D;11=DRK-1502;54=1;38=1200;44=93.8;100=D;
09:02:30.200,35=D;11=LIT-1503;54=2;38=2700;44=93.8;100=L;,35=D;11=DRK-1503;54=2;38=300;44=93.8;100=D;
09:02:30.300,35=D;11=LIT-1504;54=1;38=800;44=93.9;100=L;,35=D;11=DRK-1504;54=1;38=1100;44=94.0;100=D;
09:02:30.400,35=D;11=LIT-1505;54=2;38=1800;44=93.7;100=L;,35=D;11=DRK-1505;54=2;38=1100;44=93.9;100=D;
09:02:30.500,35=D;11=LIT-1506;54=1;38=500;44=93.9;100=L;,35=D;11=DRK-1506;54=1;38=600;44=93.7;100=D;
09:02:30.600,35=D;11=LIT-1507;54=2;38=1400;44=94.0;100=L;,35=D;11=DRK-1507;54=2;38=1400;44=94.0;100=D;
09:02:30.700,35=D;11=LIT-1508;54=1;38=1300;44=94.2;100=L;,35=D;11=DRK-1508;54=1;38=800;44=94.2;100=D;
09:02:30.800,35=D;11=LIT-1509;54=2;38=3000;44=94.1;100=L;,35=D;11=DRK-1509;54=2;38=200;44=94.0;100=D;
09:02:30.900,35=D;11=LIT-1510;54=1;38=2800;44=93.9;100=L;,35=D;11=DRK-1510;54=1;38=1300;44=93.7;100=D;
09:02:31.000,35=D;11=LIT-1511;54=2;38=2000;44=93.8;100=L;,35=D;11=DRK-1511;54=2;38=800;44=93.8;100=D;
09:02:31.100,35=D;11=LIT-1512;54=1;38=2300;44=93.8;100=L;,35=D;11=DRK-1512;54=1;38=1400;44=93.9;100=D;
09:02:31.200,35=D;11=LIT-1513;54=2;38=1900;44=93.8;100=L;,35=D;11=DRK-1513;54=2;38=100;44=93.8;100=D;
09:02:31.300,35=D;11=LIT-1514;54=1;38=2100;44=94.0;100=L;,35=D;11=DRK-1514;54=1;38=400;44=94.1;100=D;
09:02:31.400,35=D;11=LIT-1515;54=2;38=700;44=93.9;100=L;,35=D;11=DRK-1515;54=2;38=1200;44=93.9;100=D;
09:02:31.500,35=D;11=LIT-1516;54=1;38=600;44=94.1;100=L;,35=D;11=DRK-1516;54=1;38=1100;44=93.9;100=D;
09:02:31.600,35=D;11=LIT-1517;54=2;38=1100;44=93.8;100=L;,35=D;11=DRK-1517;54=2;38=900;44=93.8;100=D;
09:02:31.700,35=D;11=LIT-1518;54=1;38=1100;44=94.0;100=L;,35=D;11=DRK-1518;54=1;38=1000;44=94.0;100=D;
09:02:31.800,35=D;11=LIT-1519;54=2;38=400;44=93.8;100=L;,35=D;11=DRK-1519;54=2;38=1100;44=93.9;100=D;
09:02:31.900,35=D;11=LIT-1520;54=1;38=900;44=93.9;100=L;,35=D;11=DRK-1520;54=1;38=1500;44=93.7;100=D;
09:02:32.000,35=D;11=LIT-1521;54=2;38=1000;44=93.8;100=L;,35=D;11=DRK-1521;54=2;38=1100;44=93.7;100=D;
09:02:32.100,35=D;11=LIT-1522;54=1;38=2400;44=93.7;100=L;,35=D;11=DRK-1522;54=1;38=400;44=93.7;100=D;
09:02:32.200,35=D;11=LIT-1523;54=2;38=1600;44=93.9;100=L;,35=D;11=DRK-1523;54=2;38=100;44=93.9;100=D;
09:02:32.300,35=D;11=LIT-1524;54=1;38=1900;44=93.7;100=L;,35=D;11=DRK-1524;54=1;38=900;44=93.9;100=D;
09:02:32.400,35=D;11=LIT-1525;54=2;38=3000;44=93.9;100=L;,35=D;11=DRK-1525;54=2;38=1300;44=94.1;100=D;
09:02:32.500,35=D;11=LIT-1526;54=1;38=400;44=94.2;100=L;,35=D;11=DRK-1526;54=1;38=1400;44=94.2;100=D;
09:02:32.600,35=D;11=LIT-1527;54=2;38=2500;44=94.3;100=L;,35=D;11=DRK-1527;54=2;38=900;44=94.2;100=D;
09:02:32.700,35=D;11=LIT-1528;54=1;38=800;44=94.1;100=L;,35=D;11=DRK-1528;54=1;38=300;44=94.2;100=D;
09:02:32.800,35=D;11=LIT-1529;54=2;38=2900;44=94.2;100=L;,35=D;11=DRK-1529;54=2;38=400;44=94.4;100=D;
09:02:32.900,35=D;11=LIT-1530;54=1;38=800;44=94.5;100=L;,35=D;11=DRK-1530;54=1;38=100;44=94.4;100=D;
09:02:33.000,35=D;11=LIT-1531;54=2;38=300;44=94.3;100=L;,35=D;11=DRK-1531;54=2;38=500;44=94.3;100=D;
09:02:33.100,35=D;11=LIT-1532;54=1;38=1200;44=94.3;100=L;,35=D;11=DRK-1532;54=1;38=1500;44=94.1;100=D;
09:02:33.200,35=D;11=LIT-1533;54=2;38=1500;44=94.1;100=L;,35=D;11=DRK-1533;54=2;38=1100;44=94.2;100=D;
09:02:33.300,35=D;11=LIT-1534;54=1;38=1600;44=94.1;100=L;,35=D;11=DRK-1534;54=1;38=1100;44=94.1;100=D;
09:02:33.400,35=D;11=LIT-1535;54=2;38=2300;44=93.9;100=L;,35=D;11=DRK-1535;54=2;38=200;44=94.0;100=D;
09:02:33.500,35=D;11=LIT-1536;54=1;38=700;44=94.0;100=L;,35=D;11=DRK-1536;54=1;38=500;44=94.2;100=D;
09:02:33.600,35=D;11=LIT-1537;54=2;38=600;44=94.4;100=L;,35=D;11=DRK-1537;54=2;38=800;44=94.4;100=D;
09:02:33.700,35=D;11=LIT-1538;54=1;38=1500;44=94.5;100=L;,35=D;11=DRK-1538;54=1;38=1000;44=94.5;100=D;
09:02:33.800,35=D;11=LIT-1539;54=2;38=2700;44=94.7;100=L;,35=D;11=DRK-1539;54=2;38=1100;44=94.8;100=D;
09:02:33.900,35=D;11=LIT-1540;54=1;38=2500;44=95.0;100=L;,35=D;11=DRK-1540;54=1;38=600;44=94.8;100=D;
09:02:34.000,35=D;11=LIT-1541;54=2;38=2100;44=94.7;100=L;,35=D;11=DRK-1541;54=2;38=1200;44=94.8;100=D;
09:02:34.100,35=D;11=LIT-1542;54=1;38=300;44=94.6;100=L;,35=D;11=DRK-1542;54=1;38=1100;44=94.4;100=D;
09:02:34.200,35=D;11=LIT-1543;54=2;38=300;44=94.7;100=L;,35=D;11=DRK-1543;54=2;38=1300;44=94.6;100=D;
09:02:34.300,35=D;11=LIT-1544;54=1;38=2300;44=94.6;100=L;,35=D;11=DRK-1544;54=1;38=800;44=94.6;100=D;
09:02:34.400,35=D;11=LIT-1545;54=2;38=300;44=94.9;100=L;,35=D;11=DRK-1545;54=2;38=300;44=94.8;100=D;
09:02:34.500,35=D;11=LIT-1546;54=1;38=1200;44=94.9;100=L;,35=D;11=DRK-1546;54=1;38=1100;44=95.1;100=D;
09:02:34.600,35=D;11=LIT-1547;54=2;38=700;44=94.9;100=L;,35=D;11=DRK-1547;54=2;38=300;44=94.9;100=D;
09:02:34.700,35=D;11=LIT-1548;54=1;38=700;44=95.0;100=L;,35=D;11=DRK-1548;54=1;38=1300;44=95.2;100=D;
09:02:34.800,35=D;11=LIT-1549;54=2;38=2500;44=94.9;100=L;,35=D;11=DRK-1549;54=2;38=800;44=94.9;100=D;
09:02:34.900,35=D;11=LIT-1550;54=1;38=400;44=94.6;100=L;,35=D;11=DRK-1550;54=1;38=800;44=94.8;100=D;
09:02:35.000,35=D;11=LIT-1551;54=2;38=600;44=94.8;100=L;,35=D;11=DRK-1551;54=2;38=500;44=94.8;100=D;
09:02:35.100,35=D;11=LIT-1552;54=1;38=3000;44=94.8;100=L;,35=D;11=DRK-1552;54=1;38=800;44=94.8;100=D;
09:02:35.200,35=D;11=LIT-1553;54=2;38=3000;44=94.9;100=L;,35=D;11=DRK-1553;54=2;38=700;44=94.7;100=D;
09:02:35.300,35=D;11=LIT-1554;54=1;38=1800;44=94.9;100=L;,35=D;11=DRK-1554;54=1;38=600;44=94.7;100=D;
09:02:35.400,35=D;11=LIT-1555;54=2;38=1500;44=94.7;100=L;,35=D;11=DRK-1555;54=2;38=1400;44=94.7;100=D;
09:02:35.500,35=D;11=LIT-1556;54=1;38=2500;44=94.7;100=L;,35=D;11=DRK-1556;54=1;38=100;44=94.6;100=D;
09:02:35.600,35=D;11=LIT-1557;54=2;38=600;44=94.5;100=L;,35=D;11=DRK-1557;54=2;38=700;44=94.6;100=D;
09:02:35.700,35=D;11=LIT-1558;54=1;38=1700;44=94.7;100=L;,35=D;11=DRK-1558;54=1;38=600;44=94.9;100=D;
09:02:35.800,35=D;11=LIT-1559;54=2;38=900;44=94.8;100=L;,35=D;11=DRK-1559;54=2;38=800;44=94.8;100=D;
09:02:35.900,35=D;11=LIT-1560;54=1;38=1800;44=94.7;100=L;,35=D;11=DRK-1560;54=1;38=1500;44=94.6;100=D;
09:02:36.000,35=D;11=LIT-1561;54=2;38=2500;44=94.6;100=L;,35=D;11=DRK-1561;54=2;38=200;44=94.6;100=D;
09:02:36.100,35=D;11=LIT-1562;54=1;38=2900;44=94.7;100=L;,35=D;11=DRK-1562;54=1;38=400;44=94.6;100=D;
09:02:36.200,35=D;11=LIT-1563;54=2;38=400;44=94.8;100=L;,35=D;11=DRK-1563;54=2;38=1100;44=94.7;100=D;
09:02:36.300,35=D;11=LIT-1564;54=1;38=2600;44=94.5;100=L;,35=D;11=DRK-1564;54=1;38=1400;44=94.4;100=D;
09:02:36.400,35=D;11=LIT-1565;54=2;38=600;44=94.5;100=L;,35=D;11=DRK-1565;54=2;38=1000;44=94.3;100=D;
09:02:36.500,35=D;11=LIT-1566;54=1;38=1200;44=94.5;100=L;,35=D;11=DRK-1566;54=1;38=500;44=94.5;100=D;
09:02:36.600,35=D;11=LIT-1567;54=2;38=500;44=94.6;100=L;,35=D;11=DRK-1567;54=2;38=500;44=94.7;100=D;
